Country/Other,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious Critical,Tot Cases/ 1M pop,
China,80824.00,11.00,3189.00,13.00,65573.00,12062.00,3610.00,56.20
Italy,21157.00,3497.00,1441.00,175.00,1966.00,17750.00,1518.00,349.90
Iran,12729.00,1365.00,611.00,97.00,4339.00,7779.00,,151.50
S. Korea,8086.00,107.00,72.00,5.00,714.00,7300.00,59.00,157.70
Spain,6315.00,1083.00,193.00,60.00,517.00,5605.00,293.00,135.10
Germany,4525.00,850.00,8.00,,46.00,4471.00,9.00,54.00
France,4469.00,808.00,91.00,12.00,12.00,4366.00,154.00,68.50
USA,2499.00,252.00,55.00,6.00,49.00,2395.00,10.00,7.50
Switzerland,1375.00,236.00,13.00,2.00,4.00,1358.00,,158.90
UK,1140.00,342.00,21.00,10.00,18.00,1101.00,20.00,16.80
Norway,1078.00,82.00,2.00,1.00,1.00,1075.00,27.00,198.80
Sweden,961.00,147.00,2.00,1.00,1.00,958.00,2.00,95.20
Netherlands,959.00,155.00,12.00,2.00,2.00,945.00,45.00,56.00
Denmark,827.00,23.00,1.00,1.00,1.00,825.00,2.00,142.80
Japan,804.00,70.00,22.00,1.00,144.00,638.00,35.00,6.40
Diamond Princess,696.00,,7.00,,456.00,233.00,15.00,
Belgium,689.00,130.00,4.00,1.00,1.00,684.00,24.00,59.40
Austria,655.00,151.00,1.00,,6.00,648.00,1.00,72.70
Qatar,337.00,17.00,,,4.00,333.00,,117.00
Australia,248.00,49.00,3.00,,27.00,218.00,1.00,9.70
Malaysia,238.00,41.00,,,35.00,203.00,4.00,7.40
Greece,228.00,38.00,3.00,2.00,8.00,217.00,5.00,21.90
Canada,225.00,27.00,1.00,,11.00,213.00,1.00,6.00
Finland,225.00,70.00,,,1.00,224.00,,40.60
Bahrain,212.00,2.00,,,60.00,152.00,2.00,124.60
Singapore,212.00,12.00,,,105.00,107.00,11.00,36.20
Czechia,189.00,48.00,,,,189.00,2.00,17.60
Slovenia,181.00,40.00,1.00,1.00,,180.00,3.00,87.10
Israel,178.00,35.00,,,4.00,174.00,3.00,20.60
Portugal,169.00,57.00,,,2.00,167.00,10.00,16.60
Iceland,156.00,22.00,,,,156.00,,
Brazil,151.00,,,,1.00,150.00,2.00,0.70
Hong Kong,142.00,10.00,4.00,,81.00,57.00,4.00,18.90
Ireland,129.00,39.00,2.00,1.00,,127.00,6.00,26.10
Romania,116.00,21.00,,,9.00,107.00,1.00,6.00
Estonia,115.00,36.00,,,,115.00,,86.70
Philippines,111.00,47.00,8.00,3.00,2.00,101.00,1.00,1.00
Iraq,110.00,9.00,10.00,1.00,26.00,74.00,,2.70
Egypt,109.00,16.00,2.00,,27.00,80.00,,1.10
Kuwait,104.00,4.00,,,5.00,99.00,4.00,24.40
Poland,103.00,35.00,2.00,,,101.00,3.00,2.70
Saudi Arabia,103.00,17.00,,,1.00,102.00,,3.00
San Marino,101.00,21.00,5.00,,4.00,92.00,3.00,
India,97.00,15.00,2.00,,10.00,85.00,,0.10
Indonesia,96.00,27.00,5.00,1.00,8.00,83.00,,0.40
Lebanon,93.00,16.00,3.00,,1.00,89.00,3.00,13.60
UAE,85.00,,,,20.00,65.00,2.00,8.60
Thailand,82.00,7.00,1.00,,35.00,46.00,1.00,1.20
Chile,61.00,18.00,,,,61.00,,3.20
Russia,59.00,14.00,,,8.00,51.00,,0.40
Taiwan,53.00,3.00,1.00,,20.00,32.00,,2.20
Vietnam,53.00,9.00,,,16.00,37.00,,0.50
Luxembourg,51.00,13.00,1.00,,,50.00,,
Serbia,46.00,11.00,,,,46.00,1.00,5.30
Slovakia,44.00,12.00,,,,44.00,,8.10
Bulgaria,41.00,10.00,2.00,1.00,,39.00,,5.90
Brunei,40.00,3.00,,,,40.00,,
Albania,38.00,5.00,1.00,,,37.00,2.00,13.20
Croatia,38.00,6.00,,,1.00,37.00,,9.30
Peru,38.00,,,,,38.00,,1.20
South Africa,38.00,14.00,,,,38.00,,0.60
Palestine,38.00,3.00,,,,38.00,,7.40
Algeria,37.00,11.00,3.00,1.00,10.00,24.00,,0.80
Panama,36.00,9.00,1.00,,,35.00,,8.30
Argentina,34.00,,2.00,,,32.00,1.00,0.80
Pakistan,31.00,3.00,,,2.00,29.00,,0.10
Georgia,30.00,5.00,,,,30.00,1.00,7.50
Hungary,30.00,11.00,,,1.00,29.00,,3.10
Ecuador,28.00,5.00,1.00,,,27.00,1.00,1.60
Belarus,27.00,,,,3.00,24.00,,2.90
Latvia,26.00,9.00,,,1.00,25.00,,13.80
Mexico,26.00,11.00,,,4.00,22.00,1.00,0.20
Costa Rica,26.00,3.00,,,,26.00,1.00,5.10
Colombia,22.00,6.00,,,,22.00,,0.40
Senegal,21.00,,,,2.00,19.00,,1.30
Cyprus,21.00,7.00,,,,21.00,,17.40
Oman,19.00,,,,9.00,10.00,,3.70
Armenia,18.00,10.00,,,,18.00,,6.10
Tunisia,18.00,2.00,,,,18.00,2.00,1.50
Bosnia and Herzegovina,18.00,,,,,18.00,,5.50
Malta,18.00,6.00,,,1.00,17.00,,
Morocco,17.00,10.00,1.00,,1.00,15.00,1.00,0.50
Azerbaijan,15.00,,1.00,,3.00,11.00,,1.50
North Macedonia,13.00,,,,1.00,12.00,,6.20
Moldova,12.00,6.00,,,,12.00,,3.00
Afghanistan,11.00,4.00,,,,11.00,,0.30
Dominican Republic,11.00,6.00,,,,11.00,,1.00
Macao,10.00,,,,10.00,0.00,,
Sri Lanka,10.00,4.00,,,1.00,9.00,,0.50
Bolivia,10.00,,,,,10.00,,0.90
Maldives,10.00,1.00,,,,10.00,,
Martinique,10.00,7.00,,,,10.00,,
Faeroe Islands,9.00,6.00,,,,9.00,,
Lithuania,8.00,2.00,,,1.00,7.00,,2.90
Jamaica,8.00,,,,,8.00,,2.70
Cambodia,7.00,,,,1.00,6.00,,0.40
French Guiana,7.00,1.00,,,,7.00,,
Paraguay,7.00,1.00,,,,7.00,1.00,1.00
New Zealand,6.00,,,,,6.00,,1.20
Kazakhstan,6.00,2.00,,,,6.00,,0.30
Réunion,6.00,1.00,,,,6.00,,
Bangladesh,5.00,2.00,,,2.00,3.00,,
Turkey,5.00,,,,,5.00,,0.10
Cuba,4.00,,,,,4.00,,0.40
Liechtenstein,4.00,,,,,4.00,,
Uruguay,4.00,,,,,4.00,,1.20
Ukraine,3.00,,1.00,,,2.00,,0.10
Channel Islands,3.00,,,,,3.00,,
French Polynesia,3.00,,,,,3.00,,
Guadeloupe,3.00,2.00,,,,3.00,,
Honduras,3.00,1.00,,,,3.00,,0.30
Puerto Rico,3.00,,,,,3.00,,1.00
Monaco,2.00,,,,,2.00,,
Nigeria,2.00,,,,,2.00,,
Aruba,2.00,,,,,2.00,,
Burkina Faso,2.00,,,,,2.00,,0.10
Cameroon,2.00,,,,,2.00,,0.10
DRC,2.00,,,,,2.00,,
Ghana,2.00,,,,,2.00,,0.10
Namibia,2.00,2.00,,,,2.00,,0.80
Saint Martin,2.00,,,,,2.00,,
Trinidad and Tobago,2.00,1.00,,,,2.00,,1.40
Venezuela,2.00,,,,,2.00,,0.10
Guyana,1.00,,1.00,,,0.00,,
Sudan,1.00,,1.00,,,0.00,,
Andorra,1.00,,,,,1.00,,
Jordan,1.00,,,,1.00,0.00,,0.10
Nepal,1.00,,,,1.00,0.00,,
Antigua and Barbuda,1.00,,,,,1.00,,
Bhutan,1.00,,,,,1.00,,
Cayman Islands,1.00,,,,,1.00,,
Ivory Coast,1.00,,,,,1.00,,
Curaçao,1.00,,,,,1.00,,
Ethiopia,1.00,,,,,1.00,,
Gabon,1.00,,,,,1.00,,0.40
Gibraltar,1.00,,,,1.00,0.00,,
Guatemala,1.00,,,,,1.00,,0.10
Guinea,1.00,,,,,1.00,,0.10
Vatican City,1.00,,,,,1.00,,
Kenya,1.00,,,,,1.00,,
Mauritania,1.00,,,,,1.00,,0.20
Mayotte,1.00,1.00,,,,1.00,,
Mongolia,1.00,,,,,1.00,,0.30
Rwanda,1.00,1.00,,,,1.00,,0.10
St. Barth,1.00,,,,,1.00,,
Saint Lucia,1.00,,,,,1.00,,
St. Vincent Grenadines,1.00,,,,,1.00,,
Suriname,1.00,,,,,1.00,,
Eswatini,1.00,1.00,,,,1.00,,0.90
Togo,1.00,,,,,1.00,,0.10
U.S. Virgin Islands,1.00,1.00,,,,1.00,,
Total:,155840.00,10369.00,5814.00,398.00,74438.00,75588.00,5908.00,20.00
